Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Detector Time,Descriptor Time,Matches
BRISK,SIFT,5,2695,279,249.796,32.378,166
BRISK,SIFT,6,2715,289,251.469,33.5868,181
BRISK,SIFT,7,2628,272,246.12,31.7758,177
BRISK,SIFT,8,2639,266,250.177,31.661,169
BRISK,SIFT,9,2672,254,246.968,31.3117,163
""
ORB,BRISK,0,500,92,7.21128,1.40964,0
ORB,BRISK,1,500,102,5.86063,1.07087,67
ORB,BRISK,2,500,106,5.54336,1.08525,68
ORB,BRISK,3,500,113,5.61446,1.16565,70
ORB,BRISK,4,500,109,5.34666,1.15866,81
ORB,BRISK,5,500,125,5.35293,1.9123,79
ORB,BRISK,6,500,130,5.41451,1.33317,88
ORB,BRISK,7,500,129,5.42733,1.3003,88
ORB,BRISK,8,500,127,5.61042,1.29464,89
ORB,BRISK,9,500,128,5.97791,1.36613,87
""
ORB,BRIEF,0,500,92,6.73178,0.831429,0
ORB,BRIEF,1,500,102,6.0141,0.39886,47
ORB,BRIEF,2,500,106,5.64135,0.385987,54
ORB,BRIEF,3,500,113,5.42113,0.39201,51
ORB,BRIEF,4,500,109,5.50238,0.398033,58
ORB,BRIEF,5,500,125,5.33718,0.429343,60
ORB,BRIEF,6,500,130,5.39559,0.423914,68
ORB,BRIEF,7,500,129,5.5368,0.443835,69
ORB,BRIEF,8,500,127,5.45633,0.425625,73
ORB,BRIEF,9,500,128,5.44417,0.429153,70
""
ORB,ORB,0,500,92,6.8068,3.80935,0
ORB,ORB,1,500,102,5.77743,3.2655,68
ORB,ORB,2,500,106,5.61221,3.35814,77
ORB,ORB,3,500,113,5.37724,3.29088,75
ORB,ORB,4,500,109,5.40643,3.33985,84
ORB,ORB,5,500,125,5.30732,3.27189,87
ORB,ORB,6,500,130,5.38807,3.3263,95
ORB,ORB,7,500,129,5.52709,3.32452,95
ORB,ORB,8,500,127,5.45506,3.31279,93
ORB,ORB,9,500,128,5.42363,3.31638,95
""
ORB,FREAK,0,500,92,6.55279,33.7389,0
ORB,FREAK,1,500,102,5.84916,32.7295,39
ORB,FREAK,2,500,106,5.37138,31.0766,45
ORB,FREAK,3,500,113,5.36208,30.8749,43
ORB,FREAK,4,500,109,5.35781,30.8084,44
ORB,FREAK,5,500,125,5.38601,30.8704,41
ORB,FREAK,6,500,130,5.44415,30.9072,48
ORB,FREAK,7,500,129,5.42654,30.9726,50
ORB,FREAK,8,500,127,5.49971,30.8821,47
ORB,FREAK,9,500,128,5.52777,30.9412,56
""
ORB,SIFT,0,500,92,7.06396,38.8445,0
ORB,SIFT,1,500,102,5.54904,34.2645,63
ORB,SIFT,2,500,106,5.50074,36.735,70
ORB,SIFT,3,500,113,5.37099,37.5028,69
ORB,SIFT,4,500,109,5.5693,34.3907,74
ORB,SIFT,5,500,125,5.54116,34.8663,83
ORB,SIFT,6,500,130,5.65867,38.5814,89
ORB,SIFT,7,500,129,5.60491,41.3248,94
ORB,SIFT,8,500,127,6.28206,41.6613,87
ORB,SIFT,9,500,128,5.70289,39.4499,89
""
AKAZE,BRISK,0,1351,166,60.6005,1.61173,0
AKAZE,BRISK,1,1327,157,47.5799,1.49674,140
AKAZE,BRISK,2,1311,161,51.8315,1.53835,128
AKAZE,BRISK,3,1351,155,49.8483,1.51091,133
AKAZE,BRISK,4,1360,163,50.2217,1.96062,134
AKAZE,BRISK,5,1347,164,53.2268,1.56039,138
AKAZE,BRISK,6,1363,173,51.7606,1.6452,140
AKAZE,BRISK,7,1331,175,48.9193,1.65163,145
AKAZE,BRISK,8,1357,177,52.1381,2.16211,151
AKAZE,BRISK,9,1331,179,50.1616,1.78956,147
""
AKAZE,BRIEF,0,1351,166,55.217,0.639738,0
AKAZE,BRIEF,1,1327,157,49.8883,0.579979,139
AKAZE,BRIEF,2,1311,161,53.7754,0.591793,131
AKAZE,BRIEF,3,1351,155,53.8478,0.579237,132
AKAZE,BRIEF,4,1360,163,53.5606,0.563284,129
AKAZE,BRIEF,5,1347,164,51.5213,0.657954,131
AKAZE,BRIEF,6,1363,173,46.2576,0.588203,143
AKAZE,BRIEF,7,1331,175,50.4179,0.611603,151
AKAZE,BRIEF,8,1357,177,47.4544,0.610371,151
AKAZE,BRIEF,9,1331,179,47.7906,0.602958,146
