Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Ratio,Detector Time,Descriptor Time,Time Together,Matches
FAST,SIFT,2,4863,404,0.08307629035574748,1.59687,27.0758,28.67267,306
FAST,SIFT,3,4840,423,0.08739669421487603,1.55949,29.4584,31.01789,295
FAST,SIFT,4,4856,386,0.07948929159802307,1.76064,26.5233,28.283939999999998,287
FAST,SIFT,5,4899,414,0.08450704225352113,1.56835,26.7946,28.362949999999998,275
FAST,SIFT,6,4870,418,0.08583162217659138,1.6297,31.5727,33.202400000000004,302
FAST,SIFT,7,4868,406,0.08340180772391126,1.71808,27.4647,29.18278,299
FAST,SIFT,8,4996,396,0.07926341072858287,1.63021,26.9675,28.59771,285
FAST,SIFT,9,4997,401,0.0802481488893336,1.77264,25.9967,27.76934,291
FAST,SIFT,AVG,4920.4,409.4,0.08321993532357802,1.697543,28.475830000000002,30.173372999999998,264.1
""
BRISK,BRISK,0,2757,264,0.0957562568008705,264.74,3.99228,268.73228,0
BRISK,BRISK,1,2777,282,0.10154843356139719,262.288,3.37745,265.66545,170
BRISK,BRISK,2,2741,282,0.102882159795695,268.073,3.05336,271.12636,185
BRISK,BRISK,3,2735,277,0.10127970749542961,266.308,2.58604,268.89404,172
BRISK,BRISK,4,2757,297,0.10772578890097932,261.664,2.77211,264.43611,176
BRISK,BRISK,5,2695,279,0.10352504638218923,262.548,2.97149,265.51949,178
BRISK,BRISK,6,2715,289,0.10644567219152855,261.017,2.74063,263.75763,195
BRISK,BRISK,7,2628,272,0.1035007610350076,251.898,2.59032,254.48832,178
BRISK,BRISK,8,2639,266,0.10079575596816977,253.638,2.71022,256.34822,178
BRISK,BRISK,9,2672,254,0.09505988023952096,254.349,2.41051,256.75951,168
BRISK,BRISK,AVG,2711.6,276.2,0.10185194623707879,260.6523,2.920441,263.57274099999995,160.0
""
BRISK,BRIEF,0,2757,264,0.0957562568008705,265.527,1.25629,266.78328999999997,0
BRISK,BRIEF,1,2777,282,0.10154843356139719,261.466,0.83867,262.30467,174
BRISK,BRIEF,2,2741,282,0.102882159795695,271.492,0.937117,272.429117,172
BRISK,BRIEF,3,2735,277,0.10127970749542961,258.618,0.825614,259.44361399999997,162
BRISK,BRIEF,4,2757,297,0.10772578890097932,290.374,0.91715,291.29115,167
BRISK,BRIEF,5,2695,279,0.10352504638218923,258.877,0.825632,259.702632,172
BRISK,BRIEF,6,2715,289,0.10644567219152855,258.803,0.844016,259.647016,184
BRISK,BRIEF,7,2628,272,0.1035007610350076,257.442,0.823987,258.265987,179
BRISK,BRIEF,8,2639,266,0.10079575596816977,260.374,1.36565,261.73965000000004,177
BRISK,BRIEF,9,2672,254,0.09505988023952096,265.937,0.800868,266.737868,163
BRISK,BRIEF,AVG,2711.6,276.2,0.10185194623707879,264.89099999999996,0.9434994,265.8344994,155.0
""
BRISK,ORB,0,2757,264,0.0957562568008705,267.099,3.83377,270.93277,0
BRISK,ORB,1,2777,282,0.10154843356139719,257.726,4.64741,262.37341,177
BRISK,ORB,2,2741,282,0.102882159795695,267.14,3.64836,270.78836,189
BRISK,ORB,3,2735,277,0.10127970749542961,293.447,3.34252,296.78952,163
BRISK,ORB,4,2757,297,0.10772578890097932,261.339,3.37556,264.71456,174
BRISK,ORB,5,2695,279,0.10352504638218923,253.626,3.67398,257.29998,178
BRISK,ORB,6,2715,289,0.10644567219152855,254.37,3.5453,257.9153,185
BRISK,ORB,7,2628,272,0.1035007610350076,249.615,3.35259,252.96759,174
BRISK,ORB,8,2639,266,0.10079575596816977,253.546,3.75522,257.30122,174
BRISK,ORB,9,2672,254,0.09505988023952096,257.54,3.36871,260.90871000000004,168
BRISK,ORB,AVG,2711.6,276.2,0.10185194623707879,261.5448,3.6543419999999998,265.19914200000005,158.2
""
BRISK,FREAK,0,2757,264,0.0957562568008705,258.969,34.1077,293.0767,0
BRISK,FREAK,1,2777,282,0.10154843356139719,253.845,33.9272,287.7722,159
BRISK,FREAK,2,2741,282,0.102882159795695,254.711,33.0444,287.7554,177
BRISK,FREAK,3,2735,277,0.10127970749542961,255.923,32.259,288.182,161
BRISK,FREAK,4,2757,297,0.10772578890097932,253.761,31.9869,285.7479,170
BRISK,FREAK,5,2695,279,0.10352504638218923,255.209,31.8674,287.0764,159
BRISK,FREAK,6,2715,289,0.10644567219152855,254.808,32.8331,287.6411,176
BRISK,FREAK,7,2628,272,0.1035007610350076,255.045,34.7572,289.80219999999997,168
BRISK,FREAK,8,2639,266,0.10079575596816977,258.468,31.7771,290.24510000000004,172
BRISK,FREAK,9,2672,254,0.09505988023952096,251.775,31.7243,283.4993,152
